zipf,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0.0,7595.3,11833.7,11869.5
0.2,7157,11225.4,11164.4
0.4,4947.6,7628.1,7656.9
0.6,2684,4177.9,4148.7
0.8,408.6,1504.4,1524
0.9,162,657.5,657.2
