zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,ariaer,40000,80,100,1000,12,12,48129.5,48129.5
0.2,ariaer,40000,80,100,1000,12,12,41926.8,41926.8
0.4,ariaer,40000,80,100,1000,12,12,31750.7,31750.7
0.6,ariaer,40000,80,100,1000,12,12,12852.5,12852.5
0.8,ariaer,40000,80,100,1000,12,12,1929.2,1929.2
0.9,ariaer,40000,80,100,1000,12,12,550.4,550.4
0.0,ariaer,40000,80,100,4000,12,12,14571.2,14571.2
0.2,ariaer,40000,80,100,4000,12,12,12523.2,12523.2
0.4,ariaer,40000,80,100,4000,12,12,9288.8,9288.8
0.6,ariaer,40000,80,100,4000,12,12,3731.2,3731.2
0.8,ariaer,40000,80,100,4000,12,12,510.9,510.9
0.9,ariaer,40000,80,100,4000,12,12,138.7,138.7
0.0,ariaer,40000,80,10,1000,12,12,810893,810893
0.2,ariaer,40000,80,10,1000,12,12,506156,506156
0.4,ariaer,40000,80,10,1000,12,12,505694,505694
0.6,ariaer,40000,80,10,1000,12,12,492819,492819
0.8,ariaer,40000,80,10,1000,12,12,392386,392386
0.9,ariaer,40000,80,10,1000,12,12,298830,298830
0.0,ariaer,40000,80,10,4000,12,12,741332,741332
0.2,ariaer,40000,80,10,4000,12,12,480798,480798
0.4,ariaer,40000,80,10,4000,12,12,475425,475425
0.6,ariaer,40000,80,10,4000,12,12,437151,437151
0.8,ariaer,40000,80,10,4000,12,12,314608,314608
0.9,ariaer,40000,80,10,4000,12,12,237393,237393
0.0,aria,40000,80,100,1000,12,12,41374.4,41374.4
0.2,aria,40000,80,100,1000,12,12,35923.6,35923.6
0.4,aria,40000,80,100,1000,12,12,25587.6,25587.6
0.6,aria,40000,80,100,1000,12,12,7922.2,7922.2
0.8,aria,40000,80,100,1000,12,12,818,818
0.9,aria,40000,80,100,1000,12,12,280.8,280.8
0.0,aria,40000,80,100,4000,12,12,10840.2,10840.2
0.2,aria,40000,80,100,4000,12,12,9300.3,9300.3
0.4,aria,40000,80,100,4000,12,12,6556.9,6556.9
0.6,aria,40000,80,100,4000,12,12,2010.8,2010.8
0.8,aria,40000,80,100,4000,12,12,212.1,212.1
0.9,aria,40000,80,100,4000,12,12,71.8,71.8
0.0,aria,40000,80,10,1000,12,12,809408,809408
0.2,aria,40000,80,10,1000,12,12,506873,506873
0.4,aria,40000,80,10,1000,12,12,510271,510271
0.6,aria,40000,80,10,1000,12,12,493663,493663
0.8,aria,40000,80,10,1000,12,12,384790,384790
0.9,aria,40000,80,10,1000,12,12,283615,283615
0.0,aria,40000,80,10,4000,12,12,757811,757811
0.2,aria,40000,80,10,4000,12,12,478813,478813
0.4,aria,40000,80,10,4000,12,12,471834,471834
0.6,aria,40000,80,10,4000,12,12,433270,433270
0.8,aria,40000,80,10,4000,12,12,299883,299883
0.9,aria,40000,80,10,4000,12,12,217676,217676
