zipf,aria_time_experiment,ariaer_cache_fix_v2_time_experiment,time_diff_ms
0,8.40964,8.33334,0.07629999999999981
0.1,9.16275,9.04741,0.11534000000000155
0.2,9.15778,9.04153,0.11625000000000085
0.3,9.16465,8.9807,0.1839499999999994
0.4,9.03051,8.85431,0.1761999999999997
0.5,8.86156,8.58345,0.27811000000000163
0.6,8.59777,8.19681,0.4009600000000013
0.7,8.28815,7.79649,0.49165999999999954
0.8,7.93719,7.38867,0.5485199999999999
0.9,7.56208,7.04365,0.5184299999999995
