zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,1.38587e+06,2.01019e+06,1.99412e+06,1.09017e+06,1.8716e+06
0.1,1.02278e+06,1.87421e+06,1.86152e+06,872864,2.06902e+06
0.2,1.024e+06,1.87192e+06,1.87228e+06,871358,2.04937e+06
0.3,1.02389e+06,1.87007e+06,1.86244e+06,871816,2.07265e+06
0.4,1.02018e+06,1.86414e+06,1.8473e+06,868653,2.05568e+06
0.5,1.01045e+06,1.84164e+06,1.82969e+06,862180,2.03688e+06
0.6,979810,1.79031e+06,1.78114e+06,834298,1.9735e+06
0.7,900254,1.66948e+06,1.65674e+06,769592,1.83483e+06
0.8,739977,1.43271e+06,1.41217e+06,633470,1.55444e+06
0.9,533568,1.1323e+06,1.1092e+06,458677,1.18844e+06
