zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,22225.9,1.28103e+06,1.27439e+06,25002.2,1.41876e+06
0.1,20911,1.22962e+06,1.23288e+06,23826.2,1.35743e+06
0.2,19863.1,1.23353e+06,1.22586e+06,22682.2,1.35546e+06
0.3,17617.6,1.2238e+06,1.2209e+06,20024,1.35208e+06
0.4,13413.7,1.21172e+06,1.20831e+06,15364.6,1.33552e+06
0.5,7854,1.176e+06,1.1642e+06,9025.6,1.28413e+06
0.6,3093.3,1.06313e+06,1.05694e+06,3586,1.16978e+06
0.7,885.6,861546,850735,952.4,930392
0.8,286.9,576983,565235,275.5,608336
0.9,196,303789,293983,176.8,302037
