zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,747016,1.0225e+06,1.01448e+06,683481,1.03543e+06
0.1,584640,979029,973950,581296,987635
0.2,577396,963774,957648,572863,971428
0.3,552137,936072,927198,552341,941491
0.4,513238,874517,866691,512229,875167
0.5,438074,768537,760662,441846,760515
0.6,332195,616034,609087,340607,597439
0.7,214913,430615,424138,224448,402080
0.8,112627,254363,248291,119931,222534
0.9,48271.7,121459,117623,50683,100743
