zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,1.06966e+06,1.2812e+06,1.27718e+06,853243,1.43003e+06
0.1,833348,1.23681e+06,1.23352e+06,712042,1.36162e+06
0.2,833510,1.2337e+06,1.22774e+06,709296,1.35181e+06
0.3,827542,1.22813e+06,1.22321e+06,709187,1.34661e+06
0.4,816550,1.21297e+06,1.20754e+06,700523,1.3339e+06
0.5,787981,1.16784e+06,1.16723e+06,673278,1.28452e+06
0.6,712087,1.0674e+06,1.05833e+06,610026,1.16979e+06
0.7,558201,860270,849319,475233,935424
0.8,343972,577081,562686,301266,607236
0.9,157759,305309,293871,141317,302392
