zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,8691.2,1.85669e+06,1.86809e+06,9526,1.89791e+06
0.1,7989,1.74709e+06,1.75838e+06,9024.8,1.79937e+06
0.2,7617,1.75062e+06,1.7496e+06,8602.1,1.7867e+06
0.3,6811.6,1.72509e+06,1.73269e+06,7663.6,1.76813e+06
0.4,5345.9,1.68743e+06,1.68826e+06,6011.5,1.72296e+06
0.5,3370.1,1.61812e+06,1.60363e+06,3749.4,1.64007e+06
0.6,1609.2,1.47277e+06,1.46947e+06,1809,1.49017e+06
0.7,555,1.28638e+06,1.27808e+06,605.3,1.27285e+06
0.8,162.5,1.07231e+06,1.0629e+06,163.3,1.02572e+06
0.9,54.5,861504,850511,53.6,789405
