zipf,aria,ariaer,ariaer_split_no_abort_list,ariaer_without_split_no_abort_list,ariaer_without_split_with_abort_list
0.0,86633.1,2.00052e+06,2.00134e+06,90096.3,2.17394e+06
0.1,79228.8,1.87422e+06,1.85077e+06,84465.3,2.06591e+06
0.2,75824.8,1.87036e+06,1.86175e+06,81205.7,2.06663e+06
0.3,68119.4,1.86327e+06,1.85785e+06,73194.2,2.07062e+06
0.4,54089,1.87068e+06,1.8519e+06,58862.7,2.05351e+06
0.5,34639.6,1.8503e+06,1.83828e+06,38057.3,2.02827e+06
0.6,17174.2,1.79537e+06,1.7901e+06,18131.3,1.97874e+06
0.7,6148.8,1.66614e+06,1.65562e+06,6193.7,1.82798e+06
0.8,1757.4,1.43127e+06,1.41665e+06,1652.9,1.55448e+06
0.9,602.8,1.13395e+06,1.10873e+06,559.1,1.19113e+06
