zipf,engine,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.4,aria,80,100,2048,16,16,145226,145226
0.5,aria,80,100,2048,16,16,106100,106100
0.6,aria,80,100,2048,16,16,57078.2,57078.2
0.7,aria,80,100,2048,16,16,23188.8,23188.8
0.8,aria,80,100,2048,16,16,8463.3,8463.3
0.9,aria,80,100,2048,16,16,3921,3921
0.0,aria,80,100,4096,16,16,110943,110943
0.1,aria,80,100,4096,16,16,107105,107105
0.2,aria,80,100,4096,16,16,103509,103509
0.3,aria,80,100,4096,16,16,94679.8,94679.8
0.4,aria,80,100,4096,16,16,77324.3,77324.3
0.5,aria,80,100,4096,16,16,52264.4,52264.4
0.6,aria,80,100,4096,16,16,26724,26724
0.7,aria,80,100,4096,16,16,10470.2,10470.2
0.8,aria,80,100,4096,16,16,3752.2,3752.2
0.9,aria,80,100,4096,16,16,1689.2,1689.2
0.0,aria,80,10,1024,16,16,1.6979,1.6979
0.1,aria,80,10,1024,16,16,1.31734,1.31734
0.2,aria,80,10,1024,16,16,1.31861,1.31861
0.3,aria,80,10,1024,16,16,1.31907,1.31907
0.4,aria,80,10,1024,16,16,1.31889,1.31889
0.5,aria,80,10,1024,16,16,1.31632,1.31632
0.6,aria,80,10,1024,16,16,1.26416,1.26416
0.7,aria,80,10,1024,16,16,1.19367,1.19367
0.8,aria,80,10,1024,16,16,1.18808,1.18808
0.9,aria,80,10,1024,16,16,973137,973137
0.0,aria,80,10,16000,16,16,1.48208,1.48208
0.1,aria,80,10,16000,16,16,1.16907,1.16907
0.2,aria,80,10,16000,16,16,1.16734,1.16734
0.3,aria,80,10,16000,16,16,1.16721,1.16721
0.4,aria,80,10,16000,16,16,1.16365,1.16365
0.5,aria,80,10,16000,16,16,1.14513,1.14513
0.6,aria,80,10,16000,16,16,1.09391,1.09391
0.7,aria,80,10,16000,16,16,985172,985172
0.8,aria,80,10,16000,16,16,802943,802943
0.9,aria,80,10,16000,16,16,590195,590195
0.0,aria,80,10,2048,16,16,1.71829,1.71829
0.1,aria,80,10,2048,16,16,1.33045,1.33045
0.2,aria,80,10,2048,16,16,1.33587,1.33587
0.3,aria,80,10,2048,16,16,1.33479,1.33479
0.4,aria,80,10,2048,16,16,1.32871,1.32871
0.5,aria,80,10,2048,16,16,1.33183,1.33183
0.6,aria,80,10,2048,16,16,1.31765,1.31765
0.7,aria,80,10,2048,16,16,1.26841,1.26841
0.8,aria,80,10,2048,16,16,1.13561,1.13561
0.9,aria,80,10,2048,16,16,888547,888547
