zipf,aria,ariaer_cache_fix_v2
0,820142,816666
0.1,506020,507000
0.2,505374,506284
0.3,505537,507127
0.4,506590,506003
0.5,502820,505404
0.6,492672,492476
0.7,461726,459587
0.8,386122,388938
0.9,283589,296168
1.0,200502,216863
