zipf,aria_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
0,31880.3,42942.8
0.1,30932,41191.5
0.2,29515.5,40046.6
0.3,26050.5,36436.5
0.4,18922,27641.3
0.5,10734.7,15248.6
0.6,7451,10400.9
0.7,6015.5,8485.4
0.8,3786,6875.1
0.9,1844.9,4182.8
1.0,1095,2216.3
