zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.9,ariaer_abort_lock_fix,10000,50,10,4000,12,10,20811.5,20811.5
0.0,ariaer_abort_lock_fix,10000,80,100,1000,12,10,15200.8,15200.8
0.2,ariaer_abort_lock_fix,10000,80,100,1000,12,10,14422.5,14422.5
0.4,ariaer_abort_lock_fix,10000,80,100,1000,12,10,12061,12061
0.6,ariaer_abort_lock_fix,10000,80,100,1000,12,10,9187,9187
0.8,ariaer_abort_lock_fix,10000,80,100,1000,12,10,4662.4,4662.4
0.9,ariaer_abort_lock_fix,10000,80,100,1000,12,10,2477.1,2477.1
0.0,ariaer_abort_lock_fix,10000,80,100,4000,12,10,5041.8,5041.8
0.2,ariaer_abort_lock_fix,10000,80,100,4000,12,10,4901.5,4901.5
0.4,ariaer_abort_lock_fix,10000,80,100,4000,12,10,4492.2,4492.2
0.6,ariaer_abort_lock_fix,10000,80,100,4000,12,10,3466.2,3466.2
0.8,ariaer_abort_lock_fix,10000,80,100,4000,12,10,602.6,602.6
0.9,ariaer_abort_lock_fix,10000,80,100,4000,12,10,278.4,278.4
0.0,ariaer_abort_lock_fix,10000,80,10,1000,12,10,818778,818778
0.2,ariaer_abort_lock_fix,10000,80,10,1000,12,10,514025,514025
0.4,ariaer_abort_lock_fix,10000,80,10,1000,12,10,503912,503912
0.6,ariaer_abort_lock_fix,10000,80,10,1000,12,10,283050,283050
0.8,ariaer_abort_lock_fix,10000,80,10,1000,12,10,169094,169094
0.9,ariaer_abort_lock_fix,10000,80,10,1000,12,10,140137,140137
0.0,ariaer_abort_lock_fix,10000,80,10,4000,12,10,691386,691386
0.2,ariaer_abort_lock_fix,10000,80,10,4000,12,10,461751,461751
0.4,ariaer_abort_lock_fix,10000,80,10,4000,12,10,272632,272632
0.6,ariaer_abort_lock_fix,10000,80,10,4000,12,10,127936,127936
0.8,ariaer_abort_lock_fix,10000,80,10,4000,12,10,82372.9,82372.9
0.9,ariaer_abort_lock_fix,10000,80,10,4000,12,10,69938.3,69938.3
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,1000,12,10,3970.7,3970.7
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,1000,12,10,3908,3908
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,1000,12,10,3444.3,3444.3
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,1000,12,10,1947.6,1947.6
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,1000,12,10,479.7,479.7
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,1000,12,10,273,273
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,4000,12,10,1103.5,1103.5
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,4000,12,10,1098,1098
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,4000,12,10,892.2,892.2
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,4000,12,10,89.6,89.6
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,4000,12,10,30.2,30.2
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,50,100,4000,12,10,27.1,27.1
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,1000,12,10,535304,535304
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,1000,12,10,380468,380468
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,1000,12,10,255268,255268
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,1000,12,10,106794,106794
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,1000,12,10,61907.4,61907.4
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,1000,12,10,50043.8,50043.8
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,4000,12,10,286326,286326
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,4000,12,10,224707,224707
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,4000,12,10,89827.6,89827.6
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,4000,12,10,40683.8,40683.8
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,4000,12,10,27059.9,27059.9
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,50,10,4000,12,10,20716.7,20716.7
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,1000,12,10,15151.4,15151.4
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,1000,12,10,14465.2,14465.2
0.4,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,1000,12,10,12095.7,12095.7
0.6,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,1000,12,10,9168.7,9168.7
0.8,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,1000,12,10,4649.2,4649.2
0.9,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,1000,12,10,2470.3,2470.3
0.0,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,4000,12,10,5155.4,5155.4
0.2,ariaer_cache_fix_v2_abort_lock_fix,10000,80,100,4000,12,10,4938.9,4938.9
