zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.0,aria_abort_lock_fix,40000,50,100,1000,12,12,6507.1,6507.1
0.2,aria_abort_lock_fix,40000,50,100,1000,12,12,6108.5,6108.5
0.4,aria_abort_lock_fix,40000,50,100,1000,12,12,4480.3,4480.3
0.6,aria_abort_lock_fix,40000,50,100,1000,12,12,2587.8,2587.8
0.8,aria_abort_lock_fix,40000,50,100,1000,12,12,586.7,586.7
0.9,aria_abort_lock_fix,40000,50,100,1000,12,12,272.3,272.3
0.0,aria_abort_lock_fix,40000,50,100,4000,12,12,1798.1,1798.1
0.2,aria_abort_lock_fix,40000,50,100,4000,12,12,1733.2,1733.2
0.4,aria_abort_lock_fix,40000,50,100,4000,12,12,1383.8,1383.8
0.6,aria_abort_lock_fix,40000,50,100,4000,12,12,210.2,210.2
0.8,aria_abort_lock_fix,40000,50,100,4000,12,12,35.1,35.1
0.9,aria_abort_lock_fix,40000,50,100,4000,12,12,24.6,24.6
0.0,aria_abort_lock_fix,40000,50,10,1000,12,12,535805,535805
0.2,aria_abort_lock_fix,40000,50,10,1000,12,12,384796,384796
0.4,aria_abort_lock_fix,40000,50,10,1000,12,12,372392,372392
0.6,aria_abort_lock_fix,40000,50,10,1000,12,12,137718,137718
0.8,aria_abort_lock_fix,40000,50,10,1000,12,12,62999.7,62999.7
0.9,aria_abort_lock_fix,40000,50,10,1000,12,12,48988.7,48988.7
0.0,aria_abort_lock_fix,40000,50,10,4000,12,12,443050,443050
0.2,aria_abort_lock_fix,40000,50,10,4000,12,12,334218,334218
0.4,aria_abort_lock_fix,40000,50,10,4000,12,12,162291,162291
0.6,aria_abort_lock_fix,40000,50,10,4000,12,12,50675.2,50675.2
0.8,aria_abort_lock_fix,40000,50,10,4000,12,12,27584.4,27584.4
0.9,aria_abort_lock_fix,40000,50,10,4000,12,12,21063.1,21063.1
0.0,aria_abort_lock_fix,40000,80,100,1000,12,12,32025.6,32025.6
0.2,aria_abort_lock_fix,40000,80,100,1000,12,12,29462.7,29462.7
0.4,aria_abort_lock_fix,40000,80,100,1000,12,12,18841.9,18841.9
0.6,aria_abort_lock_fix,40000,80,100,1000,12,12,7445.3,7445.3
0.8,aria_abort_lock_fix,40000,80,100,1000,12,12,3779.9,3779.9
0.9,aria_abort_lock_fix,40000,80,100,1000,12,12,1847.5,1847.5
0.0,aria_abort_lock_fix,40000,80,100,4000,12,12,7595.3,7595.3
0.2,aria_abort_lock_fix,40000,80,100,4000,12,12,7157,7157
0.4,aria_abort_lock_fix,40000,80,100,4000,12,12,4947.6,4947.6
0.6,aria_abort_lock_fix,40000,80,100,4000,12,12,2684,2684
0.8,aria_abort_lock_fix,40000,80,100,4000,12,12,408.6,408.6
0.9,aria_abort_lock_fix,40000,80,100,4000,12,12,162,162
0.0,aria_abort_lock_fix,40000,80,10,1000,12,12,766335,766335
0.2,aria_abort_lock_fix,40000,80,10,1000,12,12,500399,500399
0.4,aria_abort_lock_fix,40000,80,10,1000,12,12,499424,499424
0.6,aria_abort_lock_fix,40000,80,10,1000,12,12,315478,315478
