query,aria_abort_lock_fix,ariaer_abort_lock_fix,ariaer_cache_fix_v2_abort_lock_fix
mixed,92842.4,93187.3,93346.3
neworder,84979.9,82069.7,81979.5
payment,212875,222230,221740
