variant,engine,threads,zipf,read_write_ratio,ops_per_txn,batch_size,exit_code,elapsed_sec,average_commit,average_abort,total_commit,log_path
current,aria,12,0.4,50,100,2048,0,26,2905.5,70822.5,2905.5,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.4.log
current,aria,12,0.4,50,100,4096,0,27,1487.1,73469.7,1487.1,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.4.log
current,aria,12,0.4,80,10,1024,0,27,511007,4065.1,511007,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.4.log
current,aria,12,0.4,80,10,2048,0,27,496596,8440.3,496596,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.4.log
current,aria,12,0.4,80,10,4096,0,27,476058,17919.8,476058,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.4.log
current,aria,12,0.4,80,100,1024,0,26,24969.2,85930,24969.2,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.4.log
current,aria,12,0.4,80,100,2048,0,26,12562.3,97824.9,12562.3,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.4.log
current,aria,12,0.4,80,100,4096,0,27,6424.5,106216,6424.5,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.4.log
current,aria,12,0.6,50,10,1024,0,27,346239,71860.1,346239,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.6.log
current,aria,12,0.6,50,10,2048,0,26,303927,110588,303927,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.6.log
current,aria,12,0.6,50,10,4096,0,27,243766,158052,243766,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.6.log
current,aria,12,0.6,50,100,1024,0,26,1352.8,73911.2,1352.8,/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_085636/current_aria_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.6.log
