query,engine,threads,partitions,batch_size,neworder_dist,payment_dist,n_district,average_commit,total_commit
mixed,aria,12,108,500,10,15,10,460100,460100
mixed,aria,12,10,500,10,15,10,143398,143398
mixed,aria,12,12,500,10,15,10,167430,167430
mixed,aria,12,132,500,10,15,10,484754,484754
mixed,aria,12,156,500,10,15,10,504501,504501
mixed,aria,12,180,500,10,15,10,532834,532834
mixed,aria,12,1,500,10,15,10,18516.6,18516.6
mixed,aria,12,2,500,10,15,10,34524.6,34524.6
mixed,aria,12,36,500,10,15,10,340521,340521
mixed,aria,12,4,500,10,15,10,63832.4,63832.4
mixed,aria,12,60,500,10,15,10,390854,390854
mixed,aria,12,6,500,10,15,10,91508.9,91508.9
mixed,aria,12,84,500,10,15,10,432343,432343
mixed,aria,12,8,500,10,15,10,118056,118056
mixed,ariaer_cache_fix_v2,12,108,500,10,15,10,463709,463709
mixed,ariaer_cache_fix_v2,12,10,500,10,15,10,148097,148097
mixed,ariaer_cache_fix_v2,12,12,500,10,15,10,171533,171533
mixed,ariaer_cache_fix_v2,12,132,500,10,15,10,470434,470434
mixed,ariaer_cache_fix_v2,12,156,500,10,15,10,494382,494382
mixed,ariaer_cache_fix_v2,12,180,500,10,15,10,499128,499128
mixed,ariaer_cache_fix_v2,12,1,500,10,15,10,19712.6,19712.6
mixed,ariaer_cache_fix_v2,12,2,500,10,15,10,36237.7,36237.7
mixed,ariaer_cache_fix_v2,12,36,500,10,15,10,343647,343647
mixed,ariaer_cache_fix_v2,12,4,500,10,15,10,66689.5,66689.5
mixed,ariaer_cache_fix_v2,12,60,500,10,15,10,387342,387342
mixed,ariaer_cache_fix_v2,12,6,500,10,15,10,95045.9,95045.9
mixed,ariaer_cache_fix_v2,12,84,500,10,15,10,426627,426627
mixed,ariaer_cache_fix_v2,12,8,500,10,15,10,122488,122488
