zipf,ariaer,ariaer_cache_fix_v2
0.0,1.52673e+06,1.5333e+06
0.2,1.06795e+06,1.06577e+06
0.4,1.05137e+06,1.04822e+06
0.6,960327,960601
0.8,684436,677084
0.9,515564,513451
