zipf,ariaer,ariaer_cache_fix_v2
0.0,100616,98652.1
0.2,88917.3,88339
0.4,67062.1,66281.2
0.6,26878.7,26579.5
0.8,3926.9,3908.1
0.9,1113.9,1087.8
