zipf,ariaer,ariaer_cache_fix_v2
0.0,1.53598e+06,1.53935e+06
0.2,1.07917e+06,1.06984e+06
0.4,1.06649e+06,1.05874e+06
0.6,1.03848e+06,1.02832e+06
0.8,815048,794912
0.9,619461,612050
