partitions,Aria,AriaER
1,9080.6,9696.3
4,30935.7,32462.3
8,57120.4,59366.0
12,81240.9,84434.1
36,193361.0,198296.0
60,240523.0,241442.0
84,301157.0,290366.0
108,311046.0,309978.0
132,332210.0,331743.0
156,352581.0,341803.0
180,365798.0,361944.0
