zipf,engine,keys,read_write_ratio,ops_per_txn,batch_size,threads,partitions,throughput,total_commit
0.9,ariaer_cache_fix_v2,40000,95,100,6000,12,12,13842.7,13842.7
0.0,ariaer_cache_fix_v2,40000,95,100,7000,12,12,43370.2,43370.2
0.1,ariaer_cache_fix_v2,40000,95,100,7000,12,12,38105.8,38105.8
0.2,ariaer_cache_fix_v2,40000,95,100,7000,12,12,36753.2,36753.2
0.3,ariaer_cache_fix_v2,40000,95,100,7000,12,12,34466.6,34466.6
0.4,ariaer_cache_fix_v2,40000,95,100,7000,12,12,30323.7,30323.7
0.5,ariaer_cache_fix_v2,40000,95,100,7000,12,12,25393.3,25393.3
0.6,ariaer_cache_fix_v2,40000,95,100,7000,12,12,21232.3,21232.3
0.7,ariaer_cache_fix_v2,40000,95,100,7000,12,12,18657.2,18657.2
0.8,ariaer_cache_fix_v2,40000,95,100,7000,12,12,16224.9,16224.9
0.99,ariaer_cache_fix_v2,40000,95,100,7000,12,12,9540.4,9540.4
0.9,ariaer_cache_fix_v2,40000,95,100,7000,12,12,13053.1,13053.1
0.0,ariaer_cache_fix_v2,40000,95,100,8000,12,12,38907.1,38907.1
0.1,ariaer_cache_fix_v2,40000,95,100,8000,12,12,33900.6,33900.6
0.2,ariaer_cache_fix_v2,40000,95,100,8000,12,12,32997.8,32997.8
0.3,ariaer_cache_fix_v2,40000,95,100,8000,12,12,30749,30749
0.4,ariaer_cache_fix_v2,40000,95,100,8000,12,12,27373.8,27373.8
0.5,ariaer_cache_fix_v2,40000,95,100,8000,12,12,22925.6,22925.6
0.6,ariaer_cache_fix_v2,40000,95,100,8000,12,12,19356.9,19356.9
0.7,ariaer_cache_fix_v2,40000,95,100,8000,12,12,17217.6,17217.6
0.8,ariaer_cache_fix_v2,40000,95,100,8000,12,12,15389.4,15389.4
0.99,ariaer_cache_fix_v2,40000,95,100,8000,12,12,9695.7,9695.7
0.9,ariaer_cache_fix_v2,40000,95,100,8000,12,12,12563.2,12563.2
0.0,ariaer_cache_fix_v2,40000,95,100,9000,12,12,35183.3,35183.3
0.1,ariaer_cache_fix_v2,40000,95,100,9000,12,12,30901,30901
0.2,ariaer_cache_fix_v2,40000,95,100,9000,12,12,29752.9,29752.9
0.3,ariaer_cache_fix_v2,40000,95,100,9000,12,12,27945,27945
0.4,ariaer_cache_fix_v2,40000,95,100,9000,12,12,24789.9,24789.9
0.5,ariaer_cache_fix_v2,40000,95,100,9000,12,12,21020.9,21020.9
0.6,ariaer_cache_fix_v2,40000,95,100,9000,12,12,17850,17850
0.7,ariaer_cache_fix_v2,40000,95,100,9000,12,12,16227.4,16227.4
0.8,ariaer_cache_fix_v2,40000,95,100,9000,12,12,14462.1,14462.1
0.99,ariaer_cache_fix_v2,40000,95,100,9000,12,12,9381.1,9381.1
0.9,ariaer_cache_fix_v2,40000,95,100,9000,12,12,12053.9,12053.9
0.0,aria,40000,95,100,10000,12,12,30027.6,30027.6
0.1,aria,40000,95,100,10000,12,12,25984.4,25984.4
0.2,aria,40000,95,100,10000,12,12,25284.1,25284.1
0.3,aria,40000,95,100,10000,12,12,23574.7,23574.7
0.4,aria,40000,95,100,10000,12,12,20419.4,20419.4
0.5,aria,40000,95,100,10000,12,12,16519,16519
0.6,aria,40000,95,100,10000,12,12,12780.9,12780.9
0.7,aria,40000,95,100,10000,12,12,9698.2,9698.2
0.8,aria,40000,95,100,10000,12,12,7172.9,7172.9
0.99,aria,40000,95,100,10000,12,12,3969.6,3969.6
0.9,aria,40000,95,100,10000,12,12,5191.9,5191.9
0.0,aria,40000,95,100,1000,12,12,139310,139310
0.1,aria,40000,95,100,1000,12,12,123075,123075
0.2,aria,40000,95,100,1000,12,12,121014,121014
0.3,aria,40000,95,100,1000,12,12,117182,117182
0.4,aria,40000,95,100,1000,12,12,108104,108104
0.5,aria,40000,95,100,1000,12,12,89002.6,89002.6
0.6,aria,40000,95,100,1000,12,12,64658.2,64658.2
0.7,aria,40000,95,100,1000,12,12,44036.4,44036.4
0.8,aria,40000,95,100,1000,12,12,28410.2,28410.2
0.99,aria,40000,95,100,1000,12,12,11177.6,11177.6
0.9,aria,40000,95,100,1000,12,12,17344.7,17344.7
0.0,aria,40000,95,100,2000,12,12,102284,102284
0.1,aria,40000,95,100,2000,12,12,90432.2,90432.2
0.2,aria,40000,95,100,2000,12,12,88309.7,88309.7
0.3,aria,40000,95,100,2000,12,12,83422.4,83422.4
0.4,aria,40000,95,100,2000,12,12,72889,72889
0.5,aria,40000,95,100,2000,12,12,57774,57774
0.6,aria,40000,95,100,2000,12,12,41803.5,41803.5
0.7,aria,40000,95,100,2000,12,12,29037.9,29037.9
0.8,aria,40000,95,100,2000,12,12,19067.5,19067.5
0.99,aria,40000,95,100,2000,12,12,8058.8,8058.8
0.9,aria,40000,95,100,2000,12,12,12022.4,12022.4
0.0,aria,40000,95,100,3000,12,12,79631.2,79631.2
0.1,aria,40000,95,100,3000,12,12,70177.5,70177.5
0.2,aria,40000,95,100,3000,12,12,68017.6,68017.6
0.3,aria,40000,95,100,3000,12,12,63268.1,63268.1
0.4,aria,40000,95,100,3000,12,12,55104.4,55104.4
0.5,aria,40000,95,100,3000,12,12,43168.2,43168.2
0.6,aria,40000,95,100,3000,12,12,31639.8,31639.8
0.7,aria,40000,95,100,3000,12,12,22451.3,22451.3
0.8,aria,40000,95,100,3000,12,12,15084.9,15084.9
0.99,aria,40000,95,100,3000,12,12,6674.9,6674.9
0.9,aria,40000,95,100,3000,12,12,9673.8,9673.8
0.0,aria,40000,95,100,4000,12,12,64739.8,64739.8
0.1,aria,40000,95,100,4000,12,12,56774.2,56774.2
0.2,aria,40000,95,100,4000,12,12,54772.9,54772.9
0.3,aria,40000,95,100,4000,12,12,51215,51215
0.4,aria,40000,95,100,4000,12,12,43987.4,43987.4
0.5,aria,40000,95,100,4000,12,12,34718.7,34718.7
0.6,aria,40000,95,100,4000,12,12,25710.7,25710.7
