batch_size,aria,ariaer_cache_fix_v2
1000,11177.6,18109.7
2000,8058.8,14529.1
3000,6674.9,12886.8
4000,5905.1,11890.7
5000,5283,11141
6000,4925.4,10609.5
7000,4630.5,9540.4
8000,4390.8,9695.7
9000,4161.2,9381.1
10000,3969.6,9084
