batch_size,aria,ariaer_cache_fix_v2
1000,139310,139361
2000,102284,104283
3000,79631.2,81595.4
4000,64739.8,67192.9
5000,54170.6,56787.1
6000,46458.1,49265.1
7000,40775.4,43370.2
8000,36457,38907.1
9000,32728.7,35183.3
10000,30027.6,32209.7
