zipf,aria_time_experiment,ariaer_cache_fix_v2_time_experiment
0,8.40964,8.33334
0.1,9.16275,9.04741
0.2,9.15778,9.04153
0.3,9.16465,8.9807
0.4,9.03051,8.85431
0.5,8.86156,8.58345
0.6,8.59777,8.19681
0.7,8.28815,7.79649
0.8,7.93719,7.38867
0.9,7.56208,7.04365
