zipf,aria,ariaer,ariaer_cache_fix
0.0,816300,814961,760011
0.2,505593,505798,494920
0.4,505911,504493,492894
0.6,491784,491193,481723
0.8,385762,392195,379495
0.9,283933,299079,289123
