zipf,aria,ariaer,ariaer_cache_fix
0.0,753841,749230,711160
0.2,478504,479695,468252
0.4,479941,473610,463083
0.6,436430,436373,426777
0.8,300170,314818,305685
0.9,217059,237226,230158
