zipf,aria,ariaer,ariaer_cache_fix
0.0,41325.4,48064.4,46971.8
0.2,35913.9,41928.7,41502.7
0.4,25589.7,31861.1,31540.5
0.6,7951,12889.9,12741.9
0.8,822.8,1904,1905.1
0.9,284.9,549.8,534.2
