zipf,aria_sleep,ariaer_sleep
0,762668.0,787751.0
0.1,500315.0,500504.0
0.2,500092.0,498797.0
0.3,499626.0,498245.0
0.4,496355.0,498783.0
0.5,945.1,468866.0
0.6,726.4,333659.0
0.7,179.8,241076.0
0.8,69.6,182968.0
0.9,25.7,147016.0
0.99,15.4,126022.0
