batch_size,aria,ariaer_cache_fix_v2
1000,89002.6,91108.7
2000,57774,60775.4
3000,43168.2,46608
4000,34718.7,37809
5000,29147.2,32306.7
6000,25335.7,28346.1
7000,22241.1,25393.3
8000,19865.6,22925.6
9000,18045.6,21020.9
10000,16519,19425
