batch_size,aria,ariaer_cache_fix_v2
1000,17344.7,25421.4
2000,12022.4,19976.5
3000,9673.8,17416.8
4000,8398.2,15915.9
5000,7472.2,14759.4
6000,6833.5,13842.7
7000,6287.8,13053.1
8000,5852.3,12563.2
9000,5520.6,12053.9
10000,5191.9,11585.7
