batch_size,aria,ariaer_cache_fix_v2
1000,123075,122960
2000,90432.2,91962.3
3000,70177.5,72110
4000,56774.2,59125.6
5000,47395.6,50112.6
6000,40884.6,43224.5
7000,35843.5,38105.8
8000,31853.2,33900.6
9000,28712.3,30901
10000,25984.4,28137
