batch_size,aria,ariaer_cache_fix_v2
1000,64658.2,68267.5
2000,41803.5,46438.5
3000,31639.8,36478.8
4000,25710.7,30492.8
5000,21903,26510.3
6000,19080.6,23447.9
7000,16910.2,21232.3
8000,15138.9,19356.9
9000,13786.3,17850
10000,12780.9,16674.3
