batch_size,aria,ariaer_cache_fix_v2
1000,117182,117432
2000,83422.4,84876.7
3000,63268.1,65491.3
4000,51215,53265.5
5000,42677.7,44939.9
6000,36600.9,39048.6
7000,32055.5,34466.6
8000,28631.2,30749
9000,25751.2,27945
10000,23574.7,25582.4
